t [s],Nodestring name [-],Mean wse [m],Discharge [m3/s],Wetted area [m2],Mean bottom elevation [m],Reference elevation [m],Wetted geometric length [m],Total water volume stored in cells [m3]
0.0,BC_brenta_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BC_brenta_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BC_brenta_vecchio_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BC_brenta_vecchio_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BC_brenta_vecchio_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BC_caldonazzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BC_centa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BC_levico,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BC_valle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,link_borgo_monte,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,link_borgo_valle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,BC_brenta_1,436.28717546543976,1.4999999999999998,1.6418973536052432,435.30853271484375,435.30853271484375,1.6777290309515922,1.6418040317664846
1200.0,BC_brenta_2,424.81136994939413,0.5,0.530688091182363,424.1551208496094,424.1551208496094,0.8086686768125422,0.2632326015663604
1200.0,BC_brenta_vecchio_1,403.1212310000743,1.5,0.9627531973515039,402.81927490234375,402.81927490234375,3.1883879960939217,1.9249124002770241
1200.0,BC_brenta_vecchio_2,389.6899152756007,0.9999999999999999,2.090413539860935,389.213933362032,389.1159973144531,4.3917919573620114,1.339045755501773
1200.0,BC_brenta_vecchio_3,386.12066023546544,0.49999999999999994,0.19935405815273646,385.99560546875,385.99560546875,1.5941340213473738,0.1982296367014489
1200.0,BC_caldonazzo,447.6981056748209,1.0,14.3120926208421,446.4002623213165,446.2763977050781,11.027596344502863,21.679166859225926
1200.0,BC_centa,443.3884327976911,3.999999999999999,5.1926200718199915,443.1876640319937,442.60003662109375,25.863684790706607,6.660861033958186
1200.0,BC_levico,440.6571424451986,1.0,2.7113253550496217,440.2900557133215,440.2107238769531,7.38606198373229,4.158744306097336
1200.0,BC_valle,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,365.88568115234375,0.0,0.0
1200.0,link_borgo_monte,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
1200.0,link_borgo_valle,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,380.5992126464844,0.0,0.0
2400.0,BC_brenta_1,436.28724971199,1.4999999999999998,1.642021919198031,435.30853271484375,435.30853271484375,1.6777290309515922,1.6419285902792378
2400.0,BC_brenta_2,424.8118314441777,0.5,0.5310612875583443,424.1551208496094,424.1551208496094,0.8086686768125422,0.26341771492122357
2400.0,BC_brenta_vecchio_1,403.1213664132229,1.5,0.9631849470090077,402.81927490234375,402.81927490234375,3.1883879960939217,1.925775633213389
2400.0,BC_brenta_vecchio_2,389.6900522518624,0.9999999999999999,2.09101511110569,389.213933362032,389.1159973144531,4.3917919573620114,1.3393973960228946
2400.0,BC_brenta_vecchio_3,386.12090771646496,0.49999999999999994,0.19974857603370708,385.99560546875,385.99560546875,1.5941340213473738,0.1986219293738013
2400.0,BC_caldonazzo,448.02648276439174,1.0,17.933302613412206,446.4002623213165,446.2763977050781,11.027596344502863,27.137527847153763
2400.0,BC_centa,443.3886185592118,3.999999999999999,5.197424549236141,443.1876640319937,442.60003662109375,25.863684790706607,6.667741893243877
2400.0,BC_levico,440.6619692323414,1.0,2.746976304068773,440.2900557133215,440.2107238769531,7.38606198373229,4.215403915242019
