t [s],Q_BC_caldonazzo [m3/s],Q_BC_levico [m3/s],Q_BC_centa [m3/s],Q_BC_brenta_1 [m3/s],Q_BC_brenta_2 [m3/s],Q_BC_valle [m3/s],Q_BC_brenta_vecchio_1 [m3/s],Q_BC_brenta_vecchio_2 [m3/s],Q_BC_brenta_vecchio_3 [m3/s],Q_link_borgo_monte [m3/s],Q_link_borgo_valle [m3/s]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,0.0,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
2400.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,0.0,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
3600.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,0.0,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
4800.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,0.0,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
6000.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,0.0,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
7200.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-2.1668222845241707,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
8400.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-2.194068143691324,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
9600.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-2.221901162127724,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
10800.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-2.2312134189207256,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
12000.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-2.2117050082100205,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
13200.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-2.177694289845913,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
14400.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-2.148953308012208,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
15600.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-2.1374854254468705,1.5,0.9999999999999999,0.49999999999999994,0.0,0.0
16800.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-2.142242349922972,1.5,0.9999999999999999,0.49999999999999994,2.5349574650129783,2.534957465012978
18000.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-9.214069528102865,1.5,0.9999999999999999,0.49999999999999994,2.9088772034339927,2.9088772034339927
19200.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-10.073479556733927,1.5,0.9999999999999999,0.49999999999999994,3.075273729081843,3.0752737290818426
20400.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-10.475439830958829,1.5,0.9999999999999999,0.49999999999999994,3.1615487293116837,3.1615487293116837
21600.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-10.720093689496096,1.5,0.9999999999999999,0.49999999999999994,3.229486165941986,3.2294861659419865
22800.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-10.886542294209281,1.5,0.9999999999999999,0.49999999999999994,3.275404765933429,3.2754047659334296
24000.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-10.959455726827642,1.5,0.9999999999999999,0.49999999999999994,3.289197100642453,3.289197100642453
25200.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-11.004549047952388,1.5,0.9999999999999999,0.49999999999999994,3.2948704238943076,3.2948704238943076
26400.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-11.018725785118543,1.5,0.9999999999999999,0.49999999999999994,3.2976802426114995,3.2976802426114995
27600.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-11.024154138423972,1.5,0.9999999999999999,0.49999999999999994,3.2956169512543507,3.2956169512543503
28800.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-11.02736670530044,1.5,0.9999999999999999,0.49999999999999994,3.2995435253330347,3.2995435253330347
30000.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-11.030216351520432,1.5,0.9999999999999999,0.49999999999999994,3.3008529154172264,3.3008529154172264
31200.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-11.029409089442487,1.5,0.9999999999999999,0.49999999999999994,3.300275151647514,3.300275151647514
32400.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-11.028288913434926,1.5,0.9999999999999999,0.49999999999999994,3.300219101523747,3.300219101523747
33600.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-11.029575731362405,1.5,0.9999999999999999,0.49999999999999994,3.2995706649464407,3.2995706649464402
34800.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-11.0307934087837,1.5,0.9999999999999999,0.49999999999999994,3.296557568969761,3.2965575689697597
36000.0,1.0,1.0,3.999999999999999,1.4999999999999998,0.5,-11.029934845855184,1.5,0.9999999999999999,0.49999999999999994,3.2956478802269036,3.2956478802269036
