t [s],Mean wse [m],Discharge [m3/s],Wetted area [m2],Mean bottom elevation [m],Reference elevation [m],Wetted geometric length [m],Total water volume stored in cells [m3]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,447.6981056748209,1.0,14.3120926208421,446.4002623213165,446.2763977050781,11.027596344502863,21.679166859225926
2400.0,448.02648276439174,1.0,17.933302613412206,446.4002623213165,446.2763977050781,11.027596344502863,27.137527847153763
3600.0,448.1233378257168,1.0,19.001381133626918,446.4002623213165,446.2763977050781,11.027596344502863,28.747483589215463
4800.0,448.18189385127033,1.0,19.647113346969466,446.4002623213165,446.2763977050781,11.027596344502863,29.720819802856198
6000.0,448.21511309453643,1.0,20.013441752578167,446.4002623213165,446.2763977050781,11.027596344502863,30.273000438065605
7200.0,448.23320562191907,1.0,20.21295884140545,446.4002623213165,446.2763977050781,11.027596344502863,30.57374081082224
8400.0,448.2516948573882,1.0,20.416850666877064,446.4002623213165,446.2763977050781,11.027596344502863,30.88107593698119
9600.0,448.26224753382246,1.0,20.533221322948496,446.4002623213165,446.2763977050781,11.027596344502863,31.056483750490337
10800.0,448.2688734249082,1.0,20.60628897526507,446.4002623213165,446.2763977050781,11.027596344502863,31.166621330323835
12000.0,448.2716131913794,1.0,20.636502013987172,446.4002623213165,446.2763977050781,11.027596344502863,31.2121626561845
13200.0,448.2730147033827,1.0,20.65195732263193,446.4002623213165,446.2763977050781,11.027596344502863,31.23545883735255
14400.0,448.27377733190474,1.0,20.66036728213333,446.4002623213165,446.2763977050781,11.027596344502863,31.24813554271138
15600.0,448.2737210402611,1.0,20.659746520609307,446.4002623213165,446.2763977050781,11.027596344502863,31.247199847967426
16800.0,448.27391325356433,1.0,20.66186617132975,446.4002623213165,446.2763977050781,11.027596344502863,31.250395086126698
18000.0,448.2740593697781,1.0,20.663477481954953,446.4002623213165,446.2763977050781,11.027596344502863,31.25282368360255
19200.0,448.27411444456686,1.0,20.664084824494722,446.4002623213165,446.2763977050781,11.027596344502863,31.253739077068623
20400.0,448.27414656068584,1.0,20.664438988090424,446.4002623213165,446.2763977050781,11.027596344502863,31.254272991840526
21600.0,448.27416488845824,1.0,20.664641099366197,446.4002623213165,446.2763977050781,11.027596344502863,31.25457769467755
22800.0,448.27418175074433,1.0,20.664827049850413,446.4002623213165,446.2763977050781,11.027596344502863,31.254858065599127
24000.0,448.2741998928409,1.0,20.665027113568353,446.4002623213165,446.2763977050781,11.027596344502863,31.255159631488993
25200.0,448.2741991649676,1.0,20.665019086875166,446.4002623213165,446.2763977050781,11.027596344502863,31.255147499082984
26400.0,448.2741780723892,1.0,20.664786486434753,446.4002623213165,446.2763977050781,11.027596344502863,31.254796870070084
27600.0,448.2741729897054,1.0,20.66473043664953,446.4002623213165,446.2763977050781,11.027596344502863,31.254712318466982
28800.0,448.2741480690734,1.0,20.66445562197995,446.4002623213165,446.2763977050781,11.027596344502863,31.254298307879566
30000.0,448.2741783625639,1.0,20.66478968636388,446.4002623213165,446.2763977050781,11.027596344502863,31.254801739516658
31200.0,448.27420975983733,1.0,20.6651359228221,446.4002623213165,446.2763977050781,11.027596344502863,31.255323581154073
32400.0,448.27421161671555,1.0,20.665156399725774,446.4002623213165,446.2763977050781,11.027596344502863,31.255354336836575
33600.0,448.27419704289,1.0,20.664995685460447,446.4002623213165,446.2763977050781,11.027596344502863,31.255112185264363
34800.0,448.27418426327137,1.0,20.664854756984617,446.4002623213165,446.2763977050781,11.027596344502863,31.254899882948713
36000.0,448.2741825344306,1.0,20.6648356920261,446.4002623213165,446.2763977050781,11.027596344502863,31.254871171712207
