t [s],Mean wse [m],Discharge [m3/s],Wetted area [m2],Mean bottom elevation [m],Reference elevation [m],Wetted geometric length [m],Total water volume stored in cells [m3]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,440.6571424451986,1.0,2.7113253550496217,440.2900557133215,440.2107238769531,7.38606198373229,4.158744306097336
2400.0,440.6619692323414,1.0,2.746976304068773,440.2900557133215,440.2107238769531,7.38606198373229,4.215403915242019
3600.0,440.66662886233166,1.0,2.781392619998404,440.2900557133215,440.2107238769531,7.38606198373229,4.270099623525125
4800.0,440.6682715917417,1.0,2.793525921243378,440.2900557133215,440.2107238769531,7.38606198373229,4.2893836932370215
6000.0,440.6709426116931,1.0,2.81325424016394,440.2900557133215,440.2107238769531,7.38606198373229,4.3207418363436165
7200.0,440.6713870337526,1.0,2.8165367690426306,440.2900557133215,440.2107238769531,7.38606198373229,4.325955273658558
8400.0,440.6713871161411,1.0,2.816537377569106,440.2900557133215,440.2107238769531,7.38606198373229,4.325957178536671
9600.0,440.67138750078647,1.0,2.8165402185836514,440.2900557133215,440.2107238769531,7.38606198373229,4.325962992772264
10800.0,440.6713942759582,1.0,2.8165902604220903,440.2900557133215,440.2107238769531,7.38606198373229,4.326039184442088
12000.0,440.6713910952633,1.0,2.816566767612183,440.2900557133215,440.2107238769531,7.38606198373229,4.326005577509371
13200.0,440.6713897693145,1.0,2.816556974071862,440.2900557133215,440.2107238769531,7.38606198373229,4.325987107365755
14400.0,440.6713750896667,1.0,2.8164485492840567,440.2900557133215,440.2107238769531,7.38606198373229,4.325814296227154
15600.0,440.67138627510934,1.0,2.8165311656563734,440.2900557133215,440.2107238769531,7.38606198373229,4.325945516962961
16800.0,440.6713918055394,1.0,2.816572013755267,440.2900557133215,440.2107238769531,7.38606198373229,4.326009969557201
18000.0,440.67138895965724,1.0,2.816550993893733,440.2900557133215,440.2107238769531,7.38606198373229,4.325976912488181
19200.0,440.6713916647321,1.0,2.8165709737441142,440.2900557133215,440.2107238769531,7.38606198373229,4.326010843431318
20400.0,440.671386401048,1.0,2.816532095846867,440.2900557133215,440.2107238769531,7.38606198373229,4.3259472055640344
21600.0,440.6713839305722,1.0,2.8165138487595516,440.2900557133215,440.2107238769531,7.38606198373229,4.325921224650548
22800.0,440.6713825037363,1.0,2.8165033100613526,440.2900557133215,440.2107238769531,7.38606198373229,4.3259022673905845
24000.0,440.67138120023077,1.0,2.8164936822887094,440.2900557133215,440.2107238769531,7.38606198373229,4.325887852676988
25200.0,440.6713849575515,1.0,2.8165214340925053,440.2900557133215,440.2107238769531,7.38606198373229,4.325933807885419
26400.0,440.6714021329894,1.0,2.8166482929414216,440.2900557133215,440.2107238769531,7.38606198373229,4.326133131960014
27600.0,440.67138458821483,1.0,2.8165187061488237,440.2900557133215,440.2107238769531,7.38606198373229,4.325928249647754
28800.0,440.67138947083464,1.0,2.8165547694816784,440.2900557133215,440.2107238769531,7.38606198373229,4.3259860335268705
30000.0,440.671385258081,1.0,2.816523653821967,440.2900557133215,440.2107238769531,7.38606198373229,4.325936605642597
31200.0,440.67138152595714,1.0,2.8164960881238987,440.2900557133215,440.2107238769531,7.38606198373229,4.325889798517972
32400.0,440.6713869346643,1.0,2.816536037170461,440.2900557133215,440.2107238769531,7.38606198373229,4.325956564650379
33600.0,440.6713864485563,1.0,2.816532446746418,440.2900557133215,440.2107238769531,7.38606198373229,4.325949295767634
34800.0,440.6713914484885,1.0,2.816569376555792,440.2900557133215,440.2107238769531,7.38606198373229,4.326008947169655
36000.0,440.67139156350555,1.0,2.8165702260782637,440.2900557133215,440.2107238769531,7.38606198373229,4.326009454114711
