t [s],Mean wse [m],Discharge [m3/s],Wetted area [m2],Mean bottom elevation [m],Reference elevation [m],Wetted geometric length [m],Total water volume stored in cells [m3]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,380.5992126464844,0.0,0.0
2400.0,380.8500486941014,0.0,1.07304987626968,380.64148218448184,380.5992126464844,5.1448810176998006,2.0649017646282366
3600.0,380.9760335228295,0.0,1.72122683011104,380.64148218448184,380.5992126464844,5.1448810176998006,3.298769570059351
4800.0,380.9792247947008,0.0,1.7376455441840244,380.64148218448184,380.5992126464844,5.1448810176998006,3.3299898699700385
6000.0,380.97945794429694,0.0,1.738845071115433,380.64148218448184,380.5992126464844,5.1448810176998006,3.332285418530562
7200.0,380.97896520181746,0.0,1.7363099696861244,380.64148218448184,380.5992126464844,5.1448810176998006,3.3274621992026403
8400.0,380.97913476940334,0.0,1.73718237473997,380.64148218448184,380.5992126464844,5.1448810176998006,3.3291069136821516
9600.0,380.97901635634634,0.0,1.7365731536507123,380.64148218448184,380.5992126464844,5.1448810176998006,3.32795231085785
10800.0,380.9795174543632,0.0,1.7391512433257517,380.64148218448184,380.5992126464844,5.1448810176998006,3.332873056485499
12000.0,380.9792155693656,0.0,1.7375980809319556,380.64148218448184,380.5992126464844,5.1448810176998006,3.3299263312709755
13200.0,380.97894559940966,0.0,1.7362091176303942,380.64148218448184,380.5992126464844,5.1448810176998006,3.3272662110208233
14400.0,380.97894195258164,0.0,1.736190355134225,380.64148218448184,380.5992126464844,5.1448810176998006,3.327228216759941
15600.0,380.9795249728399,0.0,1.7391899249938678,380.64148218448184,380.5992126464844,5.1448810176998006,3.332945034433933
16800.0,381.37370988294896,2.534957465012978,3.7672243864776678,380.64148218448184,380.5992126464844,5.1448810176998006,7.1748543209371896
18000.0,381.4319385944101,2.9088772034339927,4.066804178759134,380.64148218448184,380.5992126464844,5.1448810176998006,7.743453783560745
19200.0,381.4531430703421,3.0752737290818426,4.175898684471802,380.64148218448184,380.5992126464844,5.1448810176998006,7.950430971208007
20400.0,381.4644067721666,3.1615487293116837,4.233849090177832,380.64148218448184,380.5992126464844,5.1448810176998006,8.060393855980173
21600.0,381.4737906897642,3.2294861659419865,4.282128229697523,380.64148218448184,380.5992126464844,5.1448810176998006,8.152009849105937
22800.0,381.4789178333052,3.2754047659334296,4.308506773176544,380.64148218448184,380.5992126464844,5.1448810176998006,8.202044094605439
24000.0,381.4813246736552,3.289197100642453,4.320889680405791,380.64148218448184,380.5992126464844,5.1448810176998006,8.225557156973592
25200.0,381.48184914272167,3.2948704238943076,4.3235880113502265,380.64148218448184,380.5992126464844,5.1448810176998006,8.230672986076312
26400.0,381.4824335974241,3.2976802426114995,4.326594961254693,380.64148218448184,380.5992126464844,5.1448810176998006,8.236382989615159
27600.0,381.48212267386094,3.2956169512543503,4.324995296516437,380.64148218448184,380.5992126464844,5.1448810176998006,8.233339364852968
28800.0,381.4823520702315,3.2995435253330347,4.32617551354918,380.64148218448184,380.5992126464844,5.1448810176998006,8.235579854692334
30000.0,381.4828238363335,3.3008529154172264,4.328602694012195,380.64148218448184,380.5992126464844,5.1448810176998006,8.24019293865477
31200.0,381.4824043593254,3.300275151647514,4.3264445347155425,380.64148218448184,380.5992126464844,5.1448810176998006,8.236090128838242
32400.0,381.4827780803365,3.300219101523747,4.3283672848514705,380.64148218448184,380.5992126464844,5.1448810176998006,8.239744367005438
33600.0,381.4824188197309,3.2995706649464402,4.32651893178132,380.64148218448184,380.5992126464844,5.1448810176998006,8.236231151595796
34800.0,381.4825755622715,3.2965575689697597,4.327325353503159,380.64148218448184,380.5992126464844,5.1448810176998006,8.237765697104331
36000.0,381.4821591349857,3.2956478802269036,4.325182884665164,380.64148218448184,380.5992126464844,5.1448810176998006,8.233693210431525
