t [s],Mean wse [m],Discharge [m3/s],Wetted area [m2],Mean bottom elevation [m],Reference elevation [m],Wetted geometric length [m],Total water volume stored in cells [m3]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
2400.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
3600.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
4800.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
6000.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
7200.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
8400.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
9600.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
10800.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
12000.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
13200.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
14400.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
15600.0,2.2250738585072014e-308,0.0,0.0,2.2250738585072014e-308,381.3037109375,0.0,0.0
16800.0,381.6393024863168,2.5349574650129783,1.5745689339999407,381.3572886258648,381.3037109375,5.583303357772515,2.3050464537430195
18000.0,381.6611698989612,2.9088772034339927,1.6966613324434476,381.3572886258648,381.3037109375,5.583303357772515,2.4837802290540205
19200.0,381.6709035790751,3.075273729081843,1.7510074213070628,381.3572886258648,381.3037109375,5.583303357772515,2.563338676261326
20400.0,381.67595146588377,3.1615487293116837,1.7791913046754462,381.3572886258648,381.3037109375,5.583303357772515,2.6045976894478593
21600.0,381.6799249802535,3.229486165941986,1.8013766407980447,381.3572886258648,381.3037109375,5.583303357772515,2.6370752960170374
22800.0,381.68260904701276,3.275404765933429,1.8163625997474078,381.3572886258648,381.3037109375,5.583303357772515,2.6590135743523153
24000.0,381.6834179898206,3.289197100642453,1.8208791728429796,381.3572886258648,381.3037109375,5.583303357772515,2.665625486077624
25200.0,381.6837499831097,3.2948704238943076,1.822732792088561,381.3572886258648,381.3037109375,5.583303357772515,2.6683390404837586
26400.0,381.6839133365721,3.2976802426114995,1.823644844023832,381.3572886258648,381.3037109375,5.583303357772515,2.669674213580109
27600.0,381.68379322989665,3.2956169512543507,1.8229742520191774,381.3572886258648,381.3037109375,5.583303357772515,2.6686925190420925
28800.0,381.68402027763165,3.2995435253330347,1.8242419284003317,381.3572886258648,381.3037109375,5.583303357772515,2.670548298667727
30000.0,381.68409979048033,3.3008529154172264,1.8246858727557234,381.3572886258648,381.3037109375,5.583303357772515,2.671198198675252
31200.0,381.6840655571891,3.300275151647514,1.8244947379058472,381.3572886258648,381.3037109375,5.583303357772515,2.670918392120975
32400.0,381.6840609523336,3.300219101523747,1.8244690276006068,381.3572886258648,381.3037109375,5.583303357772515,2.6708807542337802
33600.0,381.6840209038158,3.2995706649464407,1.8242454245765942,381.3572886258648,381.3037109375,5.583303357772515,2.670553416797852
34800.0,381.68384671992436,3.296557568969761,1.823272903070669,381.3572886258648,381.3037109375,5.583303357772515,2.6691297209532205
36000.0,381.68378991013464,3.2956478802269036,1.8229557167810537,381.3572886258648,381.3037109375,5.583303357772515,2.6686653848950996
